2025-09-30 00:22:26,274 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 1 of 3. Reason: timed out
2025-09-30 00:22:30,309 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 2 of 3. Reason: timed out
2025-09-30 00:22:35,190 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 3 of 3. Reason: timed out
2025-09-30 00:22:35,191 [WARNING] [_default] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/_default.py]: Authentication failed using Compute Engine authentication due to unavailable metadata server.
2025-09-30 00:22:35,192 [ERROR] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Error in segmentation evaluation: 
  No API_KEY or ADC found. Please either:
    - Set the `GOOGLE_API_KEY` environment variable.
    - Manually pass the key with `genai.configure(api_key=my_api_key)`.
    - Or set up Application Default Credentials, see https://ai.google.dev/gemini-api/docs/oauth for more information.
2025-09-30 10:53:57,703 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 1 of 3. Reason: timed out
2025-09-30 10:54:01,786 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 2 of 3. Reason: timed out
2025-09-30 10:54:06,674 [WARNING] [_metadata] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/compute_engine/_metadata.py]: Compute Engine Metadata server unavailable on attempt 3 of 3. Reason: timed out
2025-09-30 10:54:06,676 [WARNING] [_default] [/home/idies/workspace/Storage/xyu1/persistent/pytorch_env/Langchain/lib/python3.10/site-packages/google/auth/_default.py]: Authentication failed using Compute Engine authentication due to unavailable metadata server.
2025-09-30 10:54:06,676 [ERROR] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Error in segmentation evaluation: 
  No API_KEY or ADC found. Please either:
    - Set the `GOOGLE_API_KEY` environment variable.
    - Manually pass the key with `genai.configure(api_key=my_api_key)`.
    - Or set up Application Default Credentials, see https://ai.google.dev/gemini-api/docs/oauth for more information.
2025-09-30 11:41:08,525 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:41:33,720 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 11:41:59,319 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:12:03,722 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:14:41,193 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:15:34,092 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:16:19,048 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:17:42,946 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:18:28,331 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:19:09,870 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:19:58,649 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:20:34,873 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:21:34,315 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:22:12,468 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:22:57,851 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:23:48,595 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:24:28,973 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:31:06,912 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:32:14,360 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:33:00,518 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:33:44,250 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:34:34,003 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:35:18,127 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:36:01,688 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:36:45,779 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:37:32,626 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
2025-09-30 12:38:27,615 [WARNING] [segmentation_eval] [/home/idies/workspace/Storage/xyu1/persistent/GenCELLAgent/src/tools/segmentation_eval.py]: Failed to parse evaluation JSON, using raw text fallback.
